,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
124,SPY220617P00444000,2022-04-07 19:16:09,444.0,13.15,13.55,13.58,-1.3200006,-9.122326,306.0,4911,0.20769530105590817,False,REGULAR,USD
125,SPY220617P00445000,2022-04-07 19:22:51,445.0,13.87,13.88,13.92,-0.96000004,-6.4733653,1545.0,14360,0.2061236614990234,False,REGULAR,USD
126,SPY220617P00446000,2022-04-07 19:21:51,446.0,14.12,14.22,14.25,-1.2200003,-7.953066,337.0,2323,0.20429262512207028,False,REGULAR,USD
127,SPY220617P00447000,2022-04-07 19:15:12,447.0,14.15,14.58,14.63,-1.5200005,-9.700067,563.0,3136,0.2029956410217285,False,REGULAR,USD
128,SPY220617P00448000,2022-04-07 19:04:32,448.0,14.81,14.89,14.92,-1.3399992,-8.297209,141.0,3994,0.2004474487304687,False,REGULAR,USD
129,SPY220617P00449000,2022-04-07 19:24:44,449.0,15.32,15.32,15.35,-1.1900005,-7.2077556,465.0,5375,0.1995319305419922,False,REGULAR,USD
130,SPY220617P00450000,2022-04-07 19:22:20,450.0,15.58,15.71,15.74,-1.4200001,-8.3529415,1008.0,28271,0.19800606689453126,False,REGULAR,USD
132,SPY220617P00452000,2022-04-07 19:14:23,452.0,16.01,16.37,16.46,-1.7600002,-9.904335,17.0,3821,0.1938252005004883,True,REGULAR,USD
133,SPY220617P00453000,2022-04-07 17:13:01,453.0,18.4,16.85,16.93,-0.20000076,-1.0752729,19.0,6965,0.19294019958496095,True,REGULAR,USD
134,SPY220617P00454000,2022-04-07 19:14:59,454.0,16.77,17.15,17.24,-1.4499989,-7.958281,54.0,1157,0.18988847229003908,True,REGULAR,USD
135,SPY220617P00455000,2022-04-07 19:19:01,455.0,17.28,17.34,17.9,-1.7199993,-9.0526285,82.0,4762,0.1911091632080078,True,REGULAR,USD
139,SPY220617P00459000,2022-04-07 19:19:01,459.0,19.11,19.16,19.77,-1.8599987,-8.869808,41.0,2988,0.18497519134521478,True,REGULAR,USD
140,SPY220617P00460000,2022-04-07 19:22:08,460.0,19.64,19.62,20.32,-1.7600002,-8.2243,902.0,21709,0.18412070770263672,True,REGULAR,USD
142,SPY220617P00462000,2022-04-07 18:27:17,462.0,21.85,20.69,21.33,0.22000122,1.0171115,63.0,2537,0.1808553594970703,True,REGULAR,USD
145,SPY220617P00465000,2022-04-07 18:55:24,465.0,23.14,22.43,23.08,-1.6000004,-6.467261,1083.0,27793,0.17786466674804688,True,REGULAR,USD
146,SPY220617P00466000,2022-04-07 19:14:59,466.0,22.74,22.99,23.76,-2.0,-8.084074,11.0,266,0.17786466674804688,True,REGULAR,USD
150,SPY220617P00470000,2022-04-07 19:09:23,470.0,25.57,25.51,26.13,-3.2299995,-11.215276,64.0,17561,0.17151707397460939,True,REGULAR,USD
155,SPY220617P00475000,2022-04-07 19:06:02,475.0,29.23,29.1,29.82,-2.7299995,-8.541925,58.0,1308,0.17057103851318361,True,REGULAR,USD
160,SPY220617P00480000,2022-04-07 19:18:29,480.0,32.97,33.08,33.79,-2.9300003,-8.16156,37.0,11184,0.17063207305908207,True,REGULAR,USD
162,SPY220617P00482000,2022-04-05 18:11:41,482.0,32.17,34.76,35.45,0.0,0.0,40.0,161,0.1710287976074219,True,REGULAR,USD
166,SPY220617P00486000,2022-03-31 18:52:48,486.0,33.23,38.34,39.04,0.0,0.0,54.0,667,0.1756063885498047,True,REGULAR,USD
175,SPY220617P00496000,2022-03-31 18:52:48,496.0,41.94,47.63,48.48,0.0,0.0,50.0,55,0.19229933685302736,True,REGULAR,USD
190,SPY220617P00525000,2022-03-28 17:19:46,525.0,74.18,76.0,76.98,0.0,0.0,22.0,60,0.2510450872802734,True,REGULAR,USD
205,SPY220617P00630000,2022-03-21 14:03:17,630.0,186.39,180.68,181.67,0.0,0.0,16.0,24,0.4381159704589844,True,REGULAR,USD
