,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
39,SPY220506C00444000,2022-04-07 19:11:11,444.0,13.39,12.75,12.95,1.6900005,14.444449,71.0,401,0.188210022277832,True,REGULAR,USD
40,SPY220506C00445000,2022-04-07 19:17:48,445.0,12.4,11.9,12.12,1.5,13.761468,154.0,198,0.18323570678710935,True,REGULAR,USD
41,SPY220506C00446000,2022-04-07 18:43:03,446.0,10.3,11.28,11.49,0.4499998,4.568526,229.0,227,0.1819539813232422,True,REGULAR,USD
42,SPY220506C00447000,2022-04-07 18:52:59,447.0,10.25,10.59,10.8,1.0799999,11.7775345,216.0,284,0.17920742675781248,True,REGULAR,USD
43,SPY220506C00448000,2022-04-07 19:18:41,448.0,10.3,10.09,10.12,1.7799997,20.892014,281.0,476,0.1763693203735352,True,REGULAR,USD
44,SPY220506C00449000,2022-04-07 19:15:36,449.0,9.95,9.44,9.47,1.7600002,21.489626,104.0,184,0.17377535217285156,True,REGULAR,USD
45,SPY220506C00450000,2022-04-07 19:21:16,450.0,8.81,8.81,8.85,1.4500003,19.70109,291.0,366,0.17145603942871096,True,REGULAR,USD
46,SPY220506C00451000,2022-04-07 19:16:25,451.0,8.6,8.17,8.2,1.3500004,18.620693,1096.0,208,0.16816017395019534,False,REGULAR,USD
47,SPY220506C00452000,2022-04-07 19:12:53,452.0,7.98,7.54,7.57,1.5,23.148148,16.0,156,0.16492534301757814,False,REGULAR,USD
48,SPY220506C00453000,2022-04-07 18:09:07,453.0,6.15,6.97,7.01,0.2800002,4.7700205,53.0,183,0.1626975820922852,False,REGULAR,USD
49,SPY220506C00454000,2022-04-07 18:16:28,454.0,5.67,6.45,6.49,0.23000002,4.2279415,118.0,248,0.16083602844238282,False,REGULAR,USD
50,SPY220506C00455000,2022-04-07 19:24:20,455.0,5.85,5.83,5.86,0.96000004,19.631903,375.0,773,0.1563805065917969,False,REGULAR,USD
51,SPY220506C00456000,2022-04-07 19:02:25,456.0,5.53,5.38,5.41,0.9300003,20.217398,189.0,336,0.1550987811279297,False,REGULAR,USD
52,SPY220506C00457000,2022-04-07 19:18:38,457.0,5.09,4.91,4.95,0.96000004,23.24455,122.0,213,0.15317619293212892,False,REGULAR,USD
53,SPY220506C00458000,2022-04-07 18:45:06,458.0,4.68,4.45,4.48,0.9799998,26.48648,84.0,356,0.15058222473144534,False,REGULAR,USD
54,SPY220506C00459000,2022-04-07 19:19:28,459.0,4.14,4.0,4.02,0.9499998,29.78056,64.0,312,0.14771360107421877,False,REGULAR,USD
55,SPY220506C00460000,2022-04-07 19:20:15,460.0,3.69,3.55,3.58,0.8800001,31.316732,201.0,511,0.1447229083251953,False,REGULAR,USD
56,SPY220506C00461000,2022-04-07 18:41:33,461.0,2.73,3.15,3.19,0.23000002,9.200001,50.0,352,0.1422815264892578,False,REGULAR,USD
57,SPY220506C00462000,2022-04-07 19:21:30,462.0,2.88,2.88,2.9,0.5700002,24.675331,20.0,111,0.1416406637573242,False,REGULAR,USD
58,SPY220506C00463000,2022-04-07 18:37:50,463.0,2.06,2.49,2.51,-0.17000008,-7.6233215,59.0,175,0.13807014282226562,False,REGULAR,USD
59,SPY220506C00464000,2022-04-07 19:02:10,464.0,2.31,2.24,2.26,0.4899999,26.923069,48.0,275,0.1373377282714844,False,REGULAR,USD
60,SPY220506C00465000,2022-04-07 19:24:22,465.0,1.95,1.92,1.94,0.48000002,32.65306,1603.0,3270,0.13422496643066406,False,REGULAR,USD
61,SPY220506C00466000,2022-04-07 19:21:30,466.0,1.73,1.71,1.74,0.5,40.650406,40.0,230,0.133797724609375,False,REGULAR,USD
62,SPY220506C00467000,2022-04-07 18:14:38,467.0,1.24,1.44,1.46,0.07000005,5.9829106,422.0,191,0.13044082458496092,False,REGULAR,USD
63,SPY220506C00468000,2022-04-07 18:53:08,468.0,1.18,1.27,1.29,0.15999997,15.686271,38.0,835,0.1297694445800781,False,REGULAR,USD
64,SPY220506C00469000,2022-04-07 18:20:17,469.0,0.88,1.08,1.09,-0.22000003,-20.000004,34.0,432,0.12751116638183596,False,REGULAR,USD
