,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
133,SPY220916P00460000,2022-04-07 19:22:52,460.0,28.9,28.7,29.47,-1.3999996,-4.620461,140.0,3389,0.19951667190551758,True,REGULAR,USD
138,SPY220916P00465000,2022-04-05 18:16:10,465.0,29.13,30.54,31.88,0.0,0.0,101.0,2678,0.19423718368530274,True,REGULAR,USD
142,SPY220916P00469000,2022-04-04 15:24:23,469.0,29.36,32.44,33.83,0.0,0.0,42.0,305,0.18909502319335939,True,REGULAR,USD
145,SPY220916P00472000,2022-04-07 19:15:27,472.0,34.3,34.01,35.41,1.2999992,3.9393916,20.0,447,0.1855855368041992,True,REGULAR,USD
146,SPY220916P00473000,2022-03-29 16:23:10,473.0,29.78,34.49,35.98,0.0,0.0,21.0,38,0.18465475997924802,True,REGULAR,USD
163,SPY220916P00490000,2022-04-06 19:10:11,490.0,47.25,45.42,46.95,0.0,0.0,11.0,72,0.17014379669189456,True,REGULAR,USD
180,SPY220916P00530000,2022-03-08 20:11:45,530.0,110.4,81.04,82.46,0.0,0.0,13.0,585,0.18354087951660153,True,REGULAR,USD
183,SPY220916P00545000,2022-04-04 15:44:12,545.0,90.76,95.73,97.16,0.0,0.0,18.0,283,0.19959296508789062,True,REGULAR,USD
185,SPY220916P00555000,2021-11-10 11:47:21,555.0,183.17,88.43,90.77,0.0,0.0,222.0,355,1.0000000000000003e-05,True,REGULAR,USD
