,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
109,SPY220630C00475000,2022-04-07 19:11:11,475.0,4.25,4.04,4.07,0.80999994,23.546509,74,868,0.14457032196044922,False,REGULAR,USD
110,SPY220630C00476000,2022-04-07 19:10:37,476.0,3.9,3.81,3.84,0.6500001,20.000002,36,739,0.14417359741210936,False,REGULAR,USD
111,SPY220630C00477000,2022-04-07 19:17:42,477.0,3.7,3.53,3.56,0.77,26.279863,54,613,0.14286135467529298,False,REGULAR,USD
112,SPY220630C00478000,2022-04-07 14:59:43,478.0,2.54,3.24,3.28,-0.3800001,-13.013702,59,4480,0.14130497375488282,False,REGULAR,USD
114,SPY220630C00480000,2022-04-07 19:17:44,480.0,2.98,2.84,2.87,0.51,20.647774,34,7604,0.1401453173828125,False,REGULAR,USD
119,SPY220630C00485000,2022-04-07 19:22:44,485.0,2.01,1.95,1.97,0.34000003,20.359283,122,1565,0.1364222100830078,False,REGULAR,USD
120,SPY220630C00486000,2022-04-07 19:09:23,486.0,1.87,1.81,1.83,0.16999996,9.999997,42,3032,0.13596445098876953,False,REGULAR,USD
122,SPY220630C00488000,2022-04-07 17:45:03,488.0,1.3,1.54,1.56,-0.1400001,-9.722229,60,3242,0.13471324279785157,False,REGULAR,USD
123,SPY220630C00489000,2022-04-07 19:00:10,489.0,1.42,1.42,1.44,0.089999914,6.7669106,35,3149,0.13416393188476564,False,REGULAR,USD
124,SPY220630C00490000,2022-04-07 17:45:05,490.0,1.12,1.31,1.33,-0.01999998,-1.7543843,91,1801,0.13367565551757812,False,REGULAR,USD
129,SPY220630C00495000,2022-04-07 19:21:50,495.0,0.92,0.91,0.92,0.02000004,2.2222269,36,2201,0.132821171875,False,REGULAR,USD
130,SPY220630C00496000,2022-04-07 19:09:23,496.0,0.86,0.84,0.85,-0.089999974,-9.473681,21,212,0.13257703369140628,False,REGULAR,USD
134,SPY220630C00500000,2022-04-07 19:21:34,500.0,0.62,0.61,0.63,0.06999999,12.727271,254,6567,0.13233289550781252,False,REGULAR,USD
139,SPY220630C00505000,2022-04-06 14:38:47,505.0,0.43,0.42,0.43,0.0,0.0,12,1832,0.13221082641601564,False,REGULAR,USD
143,SPY220630C00510000,2022-04-07 19:13:36,510.0,0.31,0.3,0.31,0.03999999,14.814811,16,779,0.13367565551757812,False,REGULAR,USD
145,SPY220630C00515000,2022-04-07 17:13:01,515.0,0.19,0.2,0.21,-0.040000007,-17.391306,135,1167,0.13391979370117188,False,REGULAR,USD
146,SPY220630C00520000,2022-04-07 19:12:45,520.0,0.14,0.14,0.15,-0.010000005,-6.6666694,300,958,0.13526255371093754,False,REGULAR,USD
147,SPY220630C00525000,2022-04-06 17:24:41,525.0,0.12,0.1,0.11,0.0,0.0,121,708,0.13721565917968753,False,REGULAR,USD
148,SPY220630C00530000,2022-04-07 19:12:45,530.0,0.08,0.08,0.09,-0.020000003,-20.000004,400,2744,0.14112187011718752,False,REGULAR,USD
149,SPY220630C00535000,2022-04-07 15:57:08,535.0,0.06,0.06,0.07,-0.010000002,-14.285716,95,893,0.143563251953125,False,REGULAR,USD
151,SPY220630C00545000,2022-04-07 17:53:07,545.0,0.04,0.03,0.04,-0.010000002,-20.000002,195,658,0.14795773925781253,False,REGULAR,USD
