,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
21,SPY220509P00440000,2022-04-07 19:14:18,440.0,6.08,6.32,6.38,-1.9800005,-24.565762,85.0,535.0,0.19959296508789062,False,REGULAR,USD
22,SPY220509P00444000,2022-04-07 19:08:54,444.0,7.33,7.43,7.5,-0.5500002,-6.9796977,31.0,21.0,0.1909260595703125,False,REGULAR,USD
23,SPY220509P00445000,2022-04-07 19:11:07,445.0,7.46,7.74,7.81,-1.1499996,-13.356558,60.0,39.0,0.18869829864501952,False,REGULAR,USD
24,SPY220509P00446000,2022-04-07 19:15:36,446.0,7.65,8.06,8.13,-1.5300002,-16.666668,247.0,15.0,0.18644002044677732,False,REGULAR,USD
25,SPY220509P00448000,2022-04-07 19:17:24,448.0,8.38,8.69,8.77,-1.4200001,-14.489796,22.0,44.0,0.18109949768066402,False,REGULAR,USD
26,SPY220509P00450000,2022-04-07 19:18:40,450.0,9.15,9.48,9.56,-1.4900007,-14.003765,11.0,566.0,0.1774374249267578,False,REGULAR,USD
29,SPY220509P00455000,2022-04-07 18:59:16,455.0,11.85,11.22,12.1,-1.5499992,-11.567159,13.0,18.0,0.1733481103515625,True,REGULAR,USD
33,SPY220509P00465000,2022-04-07 19:15:59,465.0,16.81,17.44,17.81,2.4699993,17.224543,128.0,128.0,0.1504906729125977,True,REGULAR,USD
