,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY220406C00285000,2022-03-14 04:02:20+00:00,285.0,145.6,171.31,171.78,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
1,SPY220406C00330000,2022-03-08 15:19:49+00:00,330.0,89.4,126.31,126.78,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
2,SPY220406C00375000,2022-03-14 04:02:27+00:00,375.0,52.55,81.31,81.78,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
3,SPY220406C00380000,2022-03-14 04:02:28+00:00,380.0,48.1,76.31,76.78,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
4,SPY220406C00385000,2022-03-30 16:19:48+00:00,385.0,74.59,71.32,71.8,0.0,0.0,,1,0.500005,True,REGULAR,USD
5,SPY220406C00390000,2022-03-18 17:18:01+00:00,390.0,52.62,66.31,66.78,0.0,0.0,12.0,0,1.0000000000000003e-05,True,REGULAR,USD
6,SPY220406C00400000,2022-04-01 18:01:04+00:00,400.0,50.71,56.31,56.78,0.0,0.0,5.0,68,1.0000000000000003e-05,True,REGULAR,USD
7,SPY220406C00402000,2022-04-04 17:53:54+00:00,402.0,53.37,54.31,54.79,2.2599983,4.421832,1.0,5,1.0000000000000003e-05,True,REGULAR,USD
8,SPY220406C00404000,2022-04-04 17:56:06+00:00,404.0,51.45,52.31,52.78,-5.25,-9.259259,1.0,9,1.0000000000000003e-05,True,REGULAR,USD
9,SPY220406C00405000,2022-04-01 13:40:24+00:00,405.0,47.57,51.33,51.81,0.0,0.0,1.0,0,0.46094289062500005,True,REGULAR,USD
10,SPY220406C00406000,2022-03-31 14:17:21+00:00,406.0,51.07,50.31,50.78,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
11,SPY220406C00408000,2022-03-31 13:54:06+00:00,408.0,49.53,48.32,48.81,0.0,0.0,,40,0.42969320312500003,True,REGULAR,USD
12,SPY220406C00410000,2022-03-29 13:36:14+00:00,410.0,50.74,46.33,46.81,0.0,0.0,1.0,3,0.414068359375,True,REGULAR,USD
13,SPY220406C00412000,2022-03-25 13:59:22+00:00,412.0,39.1,44.31,44.82,0.0,0.0,10.0,49,0.42578699218750005,True,REGULAR,USD
14,SPY220406C00414000,2022-03-21 13:33:45+00:00,414.0,32.97,42.31,42.81,0.0,0.0,1.0,0,0.38281867187499996,True,REGULAR,USD
15,SPY220406C00415000,2022-03-30 15:22:05+00:00,415.0,44.47,41.32,41.81,0.0,0.0,2.0,106,0.37500625,True,REGULAR,USD
16,SPY220406C00416000,2022-03-30 13:45:01+00:00,416.0,44.29,40.32,40.79,0.0,0.0,8.0,262,1.0000000000000003e-05,True,REGULAR,USD
17,SPY220406C00418000,2022-03-28 13:47:10+00:00,418.0,34.83,38.32,38.79,0.0,0.0,23.0,198,1.0000000000000003e-05,True,REGULAR,USD
18,SPY220406C00419000,2022-03-25 16:00:16+00:00,419.0,31.14,37.34,37.79,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
19,SPY220406C00420000,2022-04-01 17:20:56+00:00,420.0,29.39,36.34,36.79,0.0,0.0,1.0,616,1.0000000000000003e-05,True,REGULAR,USD
20,SPY220406C00422000,2022-03-29 14:13:47+00:00,422.0,36.09,34.34,34.79,0.0,0.0,1.0,384,1.0000000000000003e-05,True,REGULAR,USD
21,SPY220406C00424000,2022-04-04 18:16:26+00:00,424.0,31.3,32.32,32.8,-5.59,-15.153159,1.0,90,0.12500875,True,REGULAR,USD
22,SPY220406C00425000,2022-04-04 19:39:47+00:00,425.0,31.2,31.32,31.8,3.3500004,12.028727,55.0,597,0.12500875,True,REGULAR,USD
23,SPY220406C00426000,2022-03-30 13:37:40+00:00,426.0,34.37,30.32,30.8,0.0,0.0,4.0,577,0.12500875,True,REGULAR,USD
24,SPY220406C00427000,2022-04-04 18:34:26+00:00,427.0,28.95,29.33,29.8,-4.7199974,-14.018408,4.0,12,0.12500875,True,REGULAR,USD
25,SPY220406C00428000,2022-04-04 19:59:17+00:00,428.0,28.68,28.34,28.82,5.8999996,25.89991,7.0,231,0.28125718749999995,True,REGULAR,USD
26,SPY220406C00429000,2022-04-04 19:41:41+00:00,429.0,27.29,27.32,27.82,6.580002,31.7721,5.0,22,0.273444765625,True,REGULAR,USD
27,SPY220406C00430000,2022-04-04 19:58:56+00:00,430.0,26.39,26.33,26.79,3.8899994,17.288885,34.0,578,1.0000000000000003e-05,True,REGULAR,USD
28,SPY220406C00431000,2022-04-04 14:21:20+00:00,431.0,23.3,25.33,25.8,4.49,23.870281,1.0,20,0.12500875,True,REGULAR,USD
29,SPY220406C00432000,2022-04-04 17:01:09+00:00,432.0,24.28,24.34,24.8,-1.4699993,-5.708735,2.0,60,0.12500875,True,REGULAR,USD
30,SPY220406C00433000,2022-04-01 16:40:53+00:00,433.0,16.85,23.35,23.81,0.0,0.0,1.0,17,0.21875781249999998,True,REGULAR,USD
31,SPY220406C00434000,2022-04-04 19:56:47+00:00,434.0,22.31,22.35,22.81,4.5,25.266705,27.0,364,0.21094539062499998,True,REGULAR,USD
32,SPY220406C00435000,2022-04-04 19:42:50+00:00,435.0,20.98,21.35,21.81,5.8199997,38.3905,40.0,298,0.20313296874999998,True,REGULAR,USD
33,SPY220406C00436000,2022-04-04 18:35:51+00:00,436.0,20.01,20.35,20.8,3.4899998,21.125906,177.0,539,0.12500875,True,REGULAR,USD
34,SPY220406C00437000,2022-04-04 20:13:19+00:00,437.0,19.58,19.35,19.83,6.1000004,45.25223,15.0,12,0.21094539062499998,True,REGULAR,USD
35,SPY220406C00438000,2022-04-04 16:59:37+00:00,438.0,16.95,18.33,18.81,2.250001,15.3061285,208.0,497,0.1757894921875,True,REGULAR,USD
