,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
85,SPY230120C00500000,2022-04-07 19:16:58,500.0,10.1,9.6,10.17,1.0,10.989011,162,15515,0.16883155395507815,False,REGULAR,USD
90,SPY230120C00525000,2022-04-07 17:56:44,525.0,3.9,4.03,4.42,-0.099999905,-2.4999976,25,2378,0.15467153930664065,False,REGULAR,USD
94,SPY230120C00545000,2022-04-06 19:40:33,545.0,1.97,2.06,2.21,0.0,0.0,237,3621,0.14939205108642578,False,REGULAR,USD
95,SPY230120C00550000,2022-04-07 17:51:30,550.0,1.88,1.74,1.88,0.110000014,6.21469,26,4050,0.14902584381103517,False,REGULAR,USD
97,SPY230120C00560000,2022-04-07 17:30:57,560.0,1.24,1.27,1.38,-0.00999999,-0.79999924,128,2053,0.14902584381103517,False,REGULAR,USD
99,SPY230120C00570000,2022-04-06 18:22:39,570.0,0.92,0.92,1.03,0.0,0.0,22,2580,0.14972774108886722,False,REGULAR,USD
101,SPY230120C00580000,2022-04-06 13:57:50,580.0,0.76,0.68,0.78,0.0,0.0,13,798,0.15088739746093754,False,REGULAR,USD
111,SPY230120C00630000,2022-04-07 15:36:44,630.0,0.21,0.17,0.27,-0.08,-27.586206,20,725,0.1632163757324219,False,REGULAR,USD
125,SPY230120C00700000,2022-04-07 15:23:47,700.0,0.08,0.06,0.09,0.0,0.0,16,883,0.18238122314453126,False,REGULAR,USD
127,SPY230120C00710000,2022-04-07 15:10:11,710.0,0.06,0.05,0.08,-0.010000002,-14.285716,13,589,0.18555501953124998,False,REGULAR,USD
