,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY220418P00285000,2022-04-04 18:20:37+00:00,285.0,0.01,0.01,0.02,-0.01,-50.0,52.0,98,0.7500025,False,REGULAR,USD
1,SPY220418P00290000,2022-04-04 20:00:27+00:00,290.0,0.01,0.01,0.02,0.0,0.0,3.0,463,0.726565234375,False,REGULAR,USD
2,SPY220418P00295000,2022-04-01 18:35:14+00:00,295.0,0.01,0.01,0.02,-0.01,-50.0,4.0,56,0.70312796875,False,REGULAR,USD
3,SPY220418P00300000,2022-04-04 17:05:33+00:00,300.0,0.02,0.01,0.02,-0.01,-33.333336,1.0,533,0.6718782812500002,False,REGULAR,USD
4,SPY220418P00305000,2022-04-04 16:13:01+00:00,305.0,0.02,0.01,0.02,-0.01,-33.333336,11.0,215,0.648441015625,False,REGULAR,USD
5,SPY220418P00310000,2022-04-04 18:44:28+00:00,310.0,0.02,0.01,0.02,-0.02,-50.0,375.0,263,0.6250037500000001,False,REGULAR,USD
6,SPY220418P00315000,2022-04-04 13:30:09+00:00,315.0,0.03,0.02,0.03,-0.01,-25.0,3.0,11,0.6289099609375001,False,REGULAR,USD
7,SPY220418P00320000,2022-04-04 16:44:19+00:00,320.0,0.03,0.02,0.03,-0.020000001,-40.000004,100.0,41,0.6054726953125001,False,REGULAR,USD
8,SPY220418P00325000,2022-04-04 18:07:11+00:00,325.0,0.03,0.02,0.03,-0.01,-25.0,120.0,125,0.57812921875,False,REGULAR,USD
9,SPY220418P00330000,2022-04-04 20:01:32+00:00,330.0,0.03,0.03,0.04,-0.020000001,-40.000004,13.0,3309,0.5742230078125,False,REGULAR,USD
10,SPY220418P00335000,2022-04-04 15:47:05+00:00,335.0,0.04,0.03,0.04,-0.030000001,-42.857143,2.0,394,0.5507857421875001,False,REGULAR,USD
11,SPY220418P00340000,2022-04-04 19:42:16+00:00,340.0,0.04,0.03,0.04,-0.010000002,-20.000004,230.0,413,0.52539537109375,False,REGULAR,USD
12,SPY220418P00345000,2022-04-04 19:16:52+00:00,345.0,0.04,0.04,0.05,-0.050000004,-55.555557,32.0,285,0.5136767382812499,False,REGULAR,USD
13,SPY220418P00350000,2022-04-04 14:33:58+00:00,350.0,0.05,0.05,0.06,-0.029999997,-37.499996,22.0,411,0.500005,False,REGULAR,USD
14,SPY220418P00355000,2022-04-01 19:26:44+00:00,355.0,0.1,0.05,0.06,0.0,0.0,22.0,846,0.4804739453125,False,REGULAR,USD
15,SPY220418P00360000,2022-04-04 19:15:34+00:00,360.0,0.06,0.06,0.07,-0.06,-50.0,12.0,541,0.46484910156250003,False,REGULAR,USD
16,SPY220418P00365000,2022-04-04 18:07:57+00:00,365.0,0.08,0.07,0.08,-0.049999997,-38.461536,3.0,215,0.44727115234375,False,REGULAR,USD
17,SPY220418P00370000,2022-04-04 19:15:34+00:00,370.0,0.08,0.08,0.09,-0.049999997,-38.461536,29.0,1121,0.428716650390625,False,REGULAR,USD
18,SPY220418P00375000,2022-04-04 19:16:52+00:00,375.0,0.09,0.08,0.09,-0.08,-47.058823,6.0,452,0.40430283203125,False,REGULAR,USD
19,SPY220418P00380000,2022-04-04 18:50:08+00:00,380.0,0.1,0.09,0.1,-0.07,-41.17647,2.0,946,0.38477177734374995,False,REGULAR,USD
20,SPY220418P00385000,2022-04-04 19:59:17+00:00,385.0,0.1,0.11,0.12,-0.1,-50.0,14.0,394,0.36914693359375,False,REGULAR,USD
21,SPY220418P00390000,2022-04-04 19:38:02+00:00,390.0,0.12,0.12,0.13,-0.11000001,-47.82609,88.0,1569,0.3481510498046875,False,REGULAR,USD
22,SPY220418P00395000,2022-04-04 20:12:51+00:00,395.0,0.14,0.13,0.14,-0.099999994,-41.666664,377.0,328,0.327155166015625,False,REGULAR,USD
23,SPY220418P00400000,2022-04-04 19:17:53+00:00,400.0,0.16,0.15,0.16,-0.09,-36.0,563.0,1645,0.30811238769531246,False,REGULAR,USD
