,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY230317P00150000,2022-04-04 19:44:59+00:00,150.0,0.85,0.7,0.89,0.0,0.0,4.0,5758,0.5356491748046875,False,REGULAR,USD
1,SPY230317P00160000,2022-03-31 17:56:38+00:00,160.0,0.98,0.81,1.01,0.0,0.0,6.0,105,0.516606396484375,False,REGULAR,USD
2,SPY230317P00170000,2022-03-29 19:53:43+00:00,170.0,1.07,0.95,1.15,0.0,0.0,2.0,98,0.506840869140625,False,REGULAR,USD
3,SPY230317P00180000,2022-04-04 13:36:27+00:00,180.0,1.25,1.11,1.32,-0.29999995,-19.354837,1.0,43,0.4904836108398438,False,REGULAR,USD
4,SPY230317P00190000,2022-04-01 15:59:33+00:00,190.0,1.49,1.29,1.5,0.0,0.0,1.0,1136,0.47437049072265625,False,REGULAR,USD
5,SPY230317P00195000,2022-04-04 16:26:23+00:00,195.0,1.48,1.39,1.61,-0.31999993,-17.777775,1.0,77,0.46716841430664063,False,REGULAR,USD
6,SPY230317P00200000,2022-04-01 17:11:15+00:00,200.0,1.82,1.6,1.71,0.0,0.0,6.0,816,0.4594780615234375,False,REGULAR,USD
7,SPY230317P00205000,2022-04-04 15:56:21+00:00,205.0,1.75,1.61,1.83,-0.27999997,-13.793102,35.0,8,0.45252012329101565,False,REGULAR,USD
8,SPY230317P00210000,2022-03-16 18:57:20+00:00,210.0,3.09,1.72,1.95,0.0,0.0,148.0,225,0.44537908142089844,False,REGULAR,USD
9,SPY230317P00215000,2022-03-31 19:50:59+00:00,215.0,2.06,1.84,2.07,0.0,0.0,10.0,439,0.4381159704589844,False,REGULAR,USD
10,SPY230317P00220000,2022-04-04 18:30:41+00:00,220.0,2.16,2.11,2.21,-0.03999996,-1.8181801,1.0,2866,0.4315242395019532,False,REGULAR,USD
11,SPY230317P00225000,2022-04-04 15:02:30+00:00,225.0,2.27,2.11,2.35,-0.18000007,-7.3469415,2.0,264,0.424810439453125,False,REGULAR,USD
12,SPY230317P00230000,2022-04-04 19:52:15+00:00,230.0,2.5,2.27,2.51,-0.03999996,-1.5748017,25.0,357,0.4185849157714844,False,REGULAR,USD
13,SPY230317P00235000,2022-03-29 16:31:40+00:00,235.0,2.62,2.42,2.67,0.0,0.0,20.0,88,0.4121762884521484,False,REGULAR,USD
14,SPY230317P00240000,2022-04-04 15:26:32+00:00,240.0,2.8,2.59,2.84,0.049999952,1.8181801,4.0,300,0.40595076477050784,False,REGULAR,USD
15,SPY230317P00245000,2022-04-04 13:33:30+00:00,245.0,3.23,2.76,3.01,0.19000006,6.2500024,1.0,42,0.3994811029052735,False,REGULAR,USD
16,SPY230317P00250000,2022-04-04 18:49:54+00:00,250.0,3.05,2.95,3.2,-2.91,-48.825504,1.0,4731,0.39346920013427733,False,REGULAR,USD
17,SPY230317P00255000,2022-03-29 14:49:56+00:00,255.0,3.37,3.14,3.4,0.0,0.0,2.0,71,0.3875183319091796,False,REGULAR,USD
18,SPY230317P00260000,2022-03-28 17:55:47+00:00,260.0,3.9,3.36,3.62,0.0,0.0,1.0,72,0.38184211914062494,False,REGULAR,USD
19,SPY230317P00265000,2022-04-01 16:40:24+00:00,265.0,4.21,3.58,3.84,0.0,0.0,1.0,98,0.375982802734375,False,REGULAR,USD
20,SPY230317P00270000,2022-04-04 14:59:23+00:00,270.0,4.09,3.82,4.08,0.09000015,2.2500038,1.0,930,0.37036762451171873,False,REGULAR,USD
21,SPY230317P00275000,2022-04-04 19:40:56+00:00,275.0,4.2,4.06,4.33,-0.3000002,-6.666671,4.0,246,0.36475244628906256,False,REGULAR,USD
22,SPY230317P00280000,2022-03-29 19:44:09+00:00,280.0,4.4,4.33,4.6,0.0,0.0,3.0,1738,0.3593508889770508,False,REGULAR,USD
23,SPY230317P00285000,2022-04-04 19:51:37+00:00,285.0,4.78,4.6,4.88,-0.3199997,-6.274504,2.0,195,0.3539188143920897,False,REGULAR,USD
24,SPY230317P00290000,2022-04-01 17:11:15+00:00,290.0,5.67,4.91,5.19,0.0,0.0,5.0,936,0.3487919125366211,False,REGULAR,USD
25,SPY230317P00295000,2022-03-31 17:49:00+00:00,295.0,5.68,4.53,6.22,0.0,0.0,1.0,107,0.3550479534912109,False,REGULAR,USD
26,SPY230317P00300000,2022-04-04 16:48:48+00:00,300.0,6.0,5.5,6.5,-0.13000011,-2.1207197,3.0,2774,0.3485172570800781,False,REGULAR,USD
27,SPY230317P00305000,2022-04-04 16:50:17+00:00,305.0,6.19,5.19,6.97,-0.119999886,-1.9017415,4.0,949,0.3446263047790527,False,REGULAR,USD
28,SPY230317P00310000,2022-04-01 16:38:13+00:00,310.0,6.47,5.55,7.15,0.0,0.0,2.0,498,0.33638664108276367,False,REGULAR,USD
29,SPY230317P00315000,2022-03-29 16:52:37+00:00,315.0,7.01,5.93,7.81,0.0,0.0,5.0,214,0.3345098287963867,False,REGULAR,USD
30,SPY230317P00320000,2022-04-01 15:30:12+00:00,320.0,7.8,6.33,8.28,0.0,0.0,1.0,155,0.3297491342163086,False,REGULAR,USD
31,SPY230317P00325000,2022-03-30 18:39:31+00:00,325.0,7.87,6.77,8.5,0.0,0.0,3.0,309,0.3216773155212402,False,REGULAR,USD
32,SPY230317P00330000,2022-04-04 15:41:49+00:00,330.0,8.5,8.25,9.3,-0.47000027,-5.239691,2.0,596,0.32034981414794916,False,REGULAR,USD
33,SPY230317P00335000,2022-04-04 16:50:17+00:00,335.0,9.09,7.71,9.85,0.10000038,1.1123513,4.0,840,0.3156806713867187,False,REGULAR,USD
34,SPY230317P00340000,2022-03-31 20:07:39+00:00,340.0,10.16,9.23,10.44,0.0,0.0,89.0,1335,0.31117937362670894,False,REGULAR,USD
