,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY220420C00380000,2022-03-18 19:20:26+00:00,380.0,64.99,76.35,77.03,0.0,0.0,1.0,1,0.40430283203125,True,REGULAR,USD
1,SPY220420C00390000,2022-03-29 13:35:44+00:00,390.0,71.07,66.38,67.07,0.0,0.0,1.0,8,0.3632876171875,True,REGULAR,USD
2,SPY220420C00400000,2022-04-04 13:44:16+00:00,400.0,53.4,56.43,57.12,-6.3899994,-10.687405,1.0,15,0.3217841259765625,True,REGULAR,USD
3,SPY220420C00405000,2022-03-31 13:33:41+00:00,405.0,53.4,51.46,52.15,0.0,0.0,3.0,3,0.3007882421875,True,REGULAR,USD
4,SPY220420C00406000,2022-03-31 13:36:43+00:00,406.0,51.92,50.46,51.14,0.0,0.0,,2,0.2941965112304687,True,REGULAR,USD
5,SPY220420C00407000,2022-03-29 19:32:32+00:00,407.0,54.88,49.47,50.15,0.0,0.0,,1,0.29053443847656246,True,REGULAR,USD
6,SPY220420C00410000,2022-03-25 18:44:55+00:00,410.0,43.19,46.49,47.16,0.0,0.0,1.0,16,0.27637442382812494,True,REGULAR,USD
7,SPY220420C00414000,2022-03-24 18:57:07+00:00,414.0,36.13,42.53,43.21,0.0,0.0,,3,0.26197027099609377,True,REGULAR,USD
8,SPY220420C00415000,2022-04-04 15:58:50+00:00,415.0,41.13,41.54,42.22,-2.5699997,-5.881006,1.0,3,0.2580640600585938,True,REGULAR,USD
9,SPY220420C00416000,2022-03-29 16:40:16+00:00,416.0,42.74,40.56,41.24,0.0,0.0,,1,0.25489026367187506,True,REGULAR,USD
10,SPY220420C00418000,2022-04-04 16:36:14+00:00,418.0,38.02,38.58,39.26,-4.700001,-11.001874,8.0,112,0.24634542724609376,True,REGULAR,USD
11,SPY220420C00419000,2022-03-22 15:45:36+00:00,419.0,32.62,37.6,38.28,0.0,0.0,,100,0.243171630859375,True,REGULAR,USD
12,SPY220420C00420000,2022-04-04 16:19:25+00:00,420.0,35.96,36.62,37.3,3.4399986,10.578101,1.0,9,0.23975369628906246,True,REGULAR,USD
13,SPY220420C00422000,2022-04-01 14:48:41+00:00,422.0,30.9,34.66,35.32,0.0,0.0,1.0,2,0.23072058349609376,True,REGULAR,USD
14,SPY220420C00423000,2022-04-01 14:50:25+00:00,423.0,29.72,33.68,34.35,0.0,0.0,1.0,2,0.22791299438476562,True,REGULAR,USD
15,SPY220420C00424000,2022-03-16 19:56:08+00:00,424.0,17.97,32.71,33.37,0.0,0.0,,3,0.22412885253906245,True,REGULAR,USD
16,SPY220420C00425000,2022-04-04 13:35:15+00:00,425.0,28.6,31.73,32.39,-0.069999695,-0.2441566,1.0,18,0.22022264160156246,True,REGULAR,USD
17,SPY220420C00426000,2022-03-31 14:08:29+00:00,426.0,32.39,30.76,31.42,0.0,0.0,1.0,5,0.21704884521484374,True,REGULAR,USD
18,SPY220420C00427000,2022-03-17 19:24:44+00:00,427.0,18.22,29.8,30.45,0.0,0.0,,5,0.21363091064453127,True,REGULAR,USD
19,SPY220420C00428000,2022-04-01 13:34:27+00:00,428.0,26.18,28.82,29.48,0.0,0.0,3.0,25,0.21009090698242186,True,REGULAR,USD
20,SPY220420C00429000,2022-04-01 13:32:36+00:00,429.0,25.76,27.86,28.51,0.0,0.0,5.0,24,0.20642883422851557,True,REGULAR,USD
21,SPY220420C00430000,2022-04-04 18:36:18+00:00,430.0,26.81,26.9,27.54,-0.9300003,-3.3525605,1.0,120,0.20264469238281246,True,REGULAR,USD
22,SPY220420C00431000,2022-04-01 20:05:49+00:00,431.0,23.07,25.95,26.6,0.0,0.0,10.0,27,0.20069158691406247,True,REGULAR,USD
23,SPY220420C00432000,2022-04-04 13:54:38+00:00,432.0,23.21,25.0,25.65,3.4099998,17.222223,1.0,14,0.1977619287109375,True,REGULAR,USD
24,SPY220420C00433000,2022-04-04 19:20:41+00:00,433.0,24.15,24.05,24.69,-2.1800003,-8.27953,2.0,22,0.1939777868652344,True,REGULAR,USD
25,SPY220420C00434000,2022-03-29 19:14:55+00:00,434.0,28.61,23.12,23.75,0.0,0.0,10.0,16,0.19129226684570313,True,REGULAR,USD
26,SPY220420C00435000,2022-04-04 19:05:59+00:00,435.0,22.14,22.19,22.81,5.2199993,30.85106,1.0,227,0.18824053955078124,True,REGULAR,USD
