,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
101,SPY221230C00500000,2022-04-07 19:03:48,500.0,8.86,8.55,9.05,0.8999996,11.306528,43.0,659,0.16639017211914067,False,REGULAR,USD
102,SPY221230C00501000,2022-03-28 19:17:18,501.0,9.9,8.24,8.73,0.0,0.0,20.0,48,0.16545939529418946,False,REGULAR,USD
123,SPY221230C00523000,2022-04-06 16:26:53,523.0,3.45,3.63,3.97,0.0,0.0,15.0,43,0.15284050292968754,False,REGULAR,USD
124,SPY221230C00525000,2022-04-07 18:23:39,525.0,3.45,3.37,3.68,0.21000004,6.4814825,1750.0,3402,0.15200127792358398,False,REGULAR,USD
129,SPY221230C00550000,2022-04-06 18:09:25,550.0,1.36,1.4,1.52,0.0,0.0,51.0,940,0.147744118347168,False,REGULAR,USD
131,SPY221230C00560000,2022-04-06 18:13:17,560.0,1.0,1.01,1.11,0.0,0.0,12.0,458,0.1482629119873047,False,REGULAR,USD
133,SPY221230C00570000,2022-04-06 15:54:40,570.0,0.8,0.73,0.83,0.0,0.0,11.0,94,0.14954463745117189,False,REGULAR,USD
