,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY230317C00150000,2022-04-04 18:27:35+00:00,150.0,305.91,305.01,309.0,-4.669983,-1.503633,1.0,2,0.6313513427734375,True,REGULAR,USD
1,SPY230317C00160000,2021-10-20 18:06:41+00:00,160.0,292.32,306.5,311.5,0.0,0.0,1.0,1,0.8900157482910156,True,REGULAR,USD
2,SPY230317C00170000,2021-12-16 18:06:16+00:00,170.0,297.74,293.62,297.43,0.0,0.0,,0,0.7678245874023439,True,REGULAR,USD
3,SPY230317C00190000,2021-11-10 11:49:09+00:00,190.0,230.0,278.84,282.62,0.0,0.0,1.0,1,0.7922994403076171,True,REGULAR,USD
4,SPY230317C00195000,2021-11-17 15:56:47+00:00,195.0,271.67,267.18,270.94,0.0,0.0,1.0,0,0.6414830773925781,True,REGULAR,USD
5,SPY230317C00200000,2022-03-15 14:06:38+00:00,200.0,221.07,255.74,260.0,0.0,0.0,3.0,5,0.5170946728515625,True,REGULAR,USD
6,SPY230317C00205000,2021-10-25 13:39:43+00:00,205.0,248.54,251.35,255.15,0.0,0.0,2.0,2,0.5081836291503907,True,REGULAR,USD
7,SPY230317C00210000,2022-03-16 19:14:33+00:00,210.0,221.08,246.05,250.0,0.0,0.0,2.0,10,0.48993429992675785,True,REGULAR,USD
8,SPY230317C00220000,2022-04-04 14:24:05+00:00,220.0,238.0,238.18,240.5,23.869995,11.147431,1.0,17,0.4787039434814453,True,REGULAR,USD
9,SPY230317C00225000,2022-02-14 05:13:53+00:00,225.0,230.27,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
10,SPY230317C00230000,2022-04-04 19:37:23+00:00,230.0,227.73,226.9,231.0,-4.7900085,-2.0600414,1.0,5,0.466374965209961,True,REGULAR,USD
11,SPY230317C00235000,2022-02-25 15:23:53+00:00,235.0,198.0,218.13,222.44,0.0,0.0,2.0,4,0.32080757324218745,True,REGULAR,USD
12,SPY230317C00240000,2022-03-25 14:42:05+00:00,240.0,215.5,217.41,221.5,0.0,0.0,2.0,19,0.45325253784179687,True,REGULAR,USD
13,SPY230317C00245000,2022-03-30 17:25:26+00:00,245.0,217.5,212.67,216.94,0.0,0.0,2.0,11,0.4505670178222656,True,REGULAR,USD
14,SPY230317C00250000,2022-03-22 14:11:20+00:00,250.0,201.25,207.95,212.0,0.0,0.0,1.0,33,0.4395197650146484,True,REGULAR,USD
15,SPY230317C00255000,2022-02-25 17:15:13+00:00,255.0,182.25,199.25,203.5,0.0,0.0,9.0,10,0.33600517517089845,True,REGULAR,USD
16,SPY230317C00260000,2022-04-04 15:23:37+00:00,260.0,199.03,198.53,202.81,-3.2299957,-1.5969524,1.0,22,0.43115803222656257,True,REGULAR,USD
17,SPY230317C00265000,2022-03-31 19:15:57+00:00,265.0,193.74,193.84,198.0,0.0,0.0,20.0,31,0.4226131958007812,True,REGULAR,USD
18,SPY230317C00270000,2022-04-01 16:05:23+00:00,270.0,184.97,189.16,193.44,0.0,0.0,2.0,30,0.418401812133789,True,REGULAR,USD
19,SPY230317C00275000,2022-02-24 15:25:49+00:00,275.0,147.0,180.57,184.88,0.0,0.0,1.0,3,0.33661552062988287,True,REGULAR,USD
20,SPY230317C00280000,2022-03-04 15:15:12+00:00,280.0,155.0,175.88,180.11,0.0,0.0,1.0,25,0.3318853433227539,True,REGULAR,USD
21,SPY230317C00285000,2022-02-22 14:49:44+00:00,285.0,153.83,166.84,171.15,0.0,0.0,2.0,5,1.0000000000000003e-05,True,REGULAR,USD
22,SPY230317C00290000,2022-03-30 19:51:01+00:00,290.0,173.95,170.6,174.75,0.0,0.0,1.0,14,0.3920043710327148,True,REGULAR,USD
23,SPY230317C00295000,2022-01-03 18:44:43+00:00,295.0,185.57,162.35,166.09,0.0,0.0,1.0,9,0.3216925741577148,True,REGULAR,USD
24,SPY230317C00300000,2022-04-04 17:13:08+00:00,300.0,161.97,161.43,165.71,6.4900055,4.174174,2.0,147,0.3821778091430663,True,REGULAR,USD
25,SPY230317C00305000,2022-04-04 17:24:54+00:00,305.0,157.66,156.87,161.16,10.169998,6.895381,2.0,166,0.37650159637451175,True,REGULAR,USD
26,SPY230317C00310000,2022-04-04 16:59:19+00:00,310.0,152.03,152.34,156.63,-2.619995,-1.6941451,1.0,262,0.3708864181518554,True,REGULAR,USD
27,SPY230317C00315000,2022-03-30 15:09:16+00:00,315.0,153.0,147.83,152.12,0.0,0.0,3.0,147,0.36533227447509764,True,REGULAR,USD
28,SPY230317C00320000,2022-03-29 19:55:28+00:00,320.0,149.78,143.36,147.6,0.0,0.0,1.0,182,0.3594424407958984,True,REGULAR,USD
29,SPY230317C00325000,2022-03-30 19:18:51+00:00,325.0,139.58,138.89,143.18,0.0,0.0,7.0,51,0.3544681253051757,True,REGULAR,USD
30,SPY230317C00330000,2022-04-04 14:30:34+00:00,330.0,135.2,134.46,138.75,-4.5200043,-3.2350447,13.0,194,0.3491581198120117,True,REGULAR,USD
31,SPY230317C00335000,2022-03-30 14:52:49+00:00,335.0,135.75,130.06,134.35,0.0,0.0,1.0,289,0.3439091488647461,True,REGULAR,USD
32,SPY230317C00340000,2022-03-30 16:19:51+00:00,340.0,130.79,125.68,129.98,0.0,0.0,2.0,255,0.33875172973632806,True,REGULAR,USD
33,SPY230317C00345000,2022-03-21 16:32:33+00:00,345.0,110.09,121.34,125.58,0.0,0.0,8.0,22,0.3330602583312989,True,REGULAR,USD
34,SPY230317C00350000,2022-04-01 18:03:01+00:00,350.0,114.0,117.04,121.33,0.0,0.0,2.0,457,0.32854370193481436,True,REGULAR,USD
35,SPY230317C00355000,2022-04-04 18:12:02+00:00,355.0,113.0,112.77,117.07,-3.0,-2.586207,1.0,39,0.32366093826293935,True,REGULAR,USD
36,SPY230317C00360000,2022-03-31 17:36:59+00:00,360.0,109.11,108.54,112.84,0.0,0.0,1.0,169,0.3187629159545897,True,REGULAR,USD
37,SPY230317C00365000,2022-03-29 16:21:20+00:00,365.0,108.63,104.35,108.5,0.0,0.0,1.0,65,0.3126899786376953,True,REGULAR,USD
38,SPY230317C00370000,2022-04-04 15:03:29+00:00,370.0,100.5,100.19,104.48,-4.169998,-3.983948,2.0,188,0.3089973886108398,True,REGULAR,USD
39,SPY230317C00375000,2022-04-01 17:21:46+00:00,375.0,92.0,96.08,100.37,0.0,0.0,1.0,172,0.3042519526672363,True,REGULAR,USD
40,SPY230317C00380000,2022-03-28 19:24:52+00:00,380.0,92.61,92.0,96.29,0.0,0.0,6.0,292,0.299460740814209,True,REGULAR,USD
41,SPY230317C00385000,2022-04-04 15:53:03+00:00,385.0,89.01,87.97,92.27,-1.4899979,-1.6464064,1.0,204,0.29480685668945306,True,REGULAR,USD
42,SPY230317C00390000,2022-03-29 15:58:00+00:00,390.0,89.31,83.99,88.24,0.0,0.0,1.0,90,0.289771506652832,True,REGULAR,USD
43,SPY230317C00395000,2022-03-31 17:15:36+00:00,395.0,82.5,80.05,84.35,0.0,0.0,5.0,102,0.2854227952575683,True,REGULAR,USD
44,SPY230317C00400000,2022-04-04 16:57:40+00:00,400.0,76.62,76.16,80.45,-2.709999,-3.4161086,6.0,353,0.28067735931396476,True,REGULAR,USD
45,SPY230317C00405000,2022-03-31 17:07:29+00:00,405.0,75.0,72.32,76.58,0.0,0.0,5.0,209,0.27580985427856436,True,REGULAR,USD
46,SPY230317C00410000,2022-04-04 17:56:23+00:00,410.0,69.6,69.2,72.83,1.9700012,2.9129105,7.0,2356,0.27138484970092774,True,REGULAR,USD
