,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
80,SPY220630P00446000,2022-04-07 18:55:09,446.0,16.0,15.66,15.7,-0.87000084,-5.1570883,222.0,2334,0.2049334878540039,False,REGULAR,USD
81,SPY220630P00447000,2022-04-07 18:48:50,447.0,16.7,15.96,16.0,-0.5099983,-2.9633837,122.0,498,0.20276676147460934,False,REGULAR,USD
82,SPY220630P00448000,2022-04-07 19:16:01,448.0,15.91,16.28,16.32,-1.5799999,-9.033733,193.0,971,0.2007221041870117,False,REGULAR,USD
83,SPY220630P00449000,2022-04-07 19:21:49,449.0,16.55,16.66,16.7,-1.3000011,-7.28292,25.0,747,0.19928779235839844,False,REGULAR,USD
84,SPY220630P00450000,2022-04-07 19:22:15,450.0,17.0,17.02,17.06,-1.2999992,-7.1038213,67.0,24431,0.19750253189086914,False,REGULAR,USD
86,SPY220630P00452000,2022-04-07 19:11:03,452.0,17.45,17.66,17.89,-1.8799992,-9.72581,34.0,622,0.19490856369018555,True,REGULAR,USD
87,SPY220630P00453000,2022-04-07 19:19:59,453.0,17.9,18.12,18.28,-3.8700008,-17.77676,23.0,417,0.19315382049560548,True,REGULAR,USD
89,SPY220630P00455000,2022-04-07 19:12:59,455.0,18.55,18.64,19.51,-3.9500008,-17.55556,28.0,1028,0.1945423564147949,True,REGULAR,USD
92,SPY220630P00458000,2022-04-06 15:48:40,458.0,22.95,19.91,20.91,0.0,0.0,20.0,321,0.1906361454772949,True,REGULAR,USD
99,SPY220630P00465000,2022-04-07 17:11:36,465.0,26.65,23.4,24.35,0.6499996,2.4999986,44.0,792,0.17929897857666016,True,REGULAR,USD
103,SPY220630P00469000,2022-04-04 15:10:45,469.0,22.46,25.7,26.74,0.0,0.0,20.0,222,0.17508759490966797,True,REGULAR,USD
104,SPY220630P00470000,2022-04-07 19:09:41,470.0,26.5,26.0,28.2,-0.90999985,-3.3199556,38.0,6052,0.18473105316162108,True,REGULAR,USD
114,SPY220630P00480000,2022-04-07 17:35:46,480.0,36.45,33.59,34.68,1.0600014,2.9952004,200.0,93,0.17093724578857422,True,REGULAR,USD
115,SPY220630P00481000,2022-03-28 19:58:58,481.0,30.5,34.48,35.53,0.0,0.0,32.0,17,0.17173069488525394,True,REGULAR,USD
125,SPY220630P00491000,2022-04-06 18:57:25,491.0,45.0,42.91,43.94,0.0,0.0,80.0,31,0.17331759307861327,True,REGULAR,USD
134,SPY220630P00505000,2022-03-24 14:45:21,505.0,59.82,56.02,57.13,0.0,0.0,27.0,80,0.19086502502441405,True,REGULAR,USD
138,SPY220630P00520000,2022-03-21 18:37:45,520.0,77.6,70.92,72.04,0.0,0.0,11.0,11,0.222114712524414,True,REGULAR,USD
