,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
83,SPY221216C00500000,2022-04-07 18:59:53,500.0,8.0,7.95,8.32,0.19999981,2.5641,379,31331,0.16477275665283203,False,REGULAR,USD
84,SPY221216C00505000,2022-04-07 19:17:39,505.0,6.98,6.62,6.96,0.80999994,13.128037,315,6033,0.1611717184448242,False,REGULAR,USD
86,SPY221216C00515000,2022-04-06 16:19:12,515.0,4.26,4.48,4.77,0.0,0.0,203,3827,0.1549156774902344,False,REGULAR,USD
89,SPY221216C00530000,2022-04-06 20:14:44,530.0,2.36,2.51,2.72,0.0,0.0,68,16880,0.14966670654296876,False,REGULAR,USD
91,SPY221216C00540000,2022-04-06 18:45:13,540.0,1.69,1.76,1.85,0.0,0.0,12,3632,0.14737791107177733,False,REGULAR,USD
92,SPY221216C00545000,2022-04-07 18:00:56,545.0,1.39,1.45,1.54,0.029999971,2.2058802,22,2873,0.14685911743164062,False,REGULAR,USD
93,SPY221216C00550000,2022-04-07 18:13:34,550.0,1.2,1.22,1.3,0.05000007,4.347832,17,7581,0.14692015197753905,False,REGULAR,USD
98,SPY221216C00575000,2022-04-07 18:24:30,575.0,0.56,0.52,0.59,-0.060000002,-9.67742,15,399,0.149422568359375,False,REGULAR,USD
103,SPY221216C00600000,2022-04-07 17:16:31,600.0,0.24,0.24,0.31,-0.049999997,-17.241379,11,8041,0.15528188476562502,False,REGULAR,USD
111,SPY221216C00640000,2022-03-24 19:06:25,640.0,0.14,0.09,0.15,0.0,0.0,238,246,0.1687094848632813,False,REGULAR,USD
113,SPY221216C00650000,2022-03-24 19:06:25,650.0,0.14,0.09,0.13,0.0,0.0,100,3333,0.17237155761718753,False,REGULAR,USD
122,SPY221216C00695000,2022-01-31 15:32:58,695.0,0.16,0.07,0.13,0.0,0.0,18,21,0.1992267578125,False,REGULAR,USD
123,SPY221216C00700000,2022-04-07 16:33:28,700.0,0.03,0.03,0.07,-0.03,-50.0,30,322,0.18994950683593753,False,REGULAR,USD
