,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY220520P00100000,2022-04-04 13:31:00+00:00,100.0,0.01,0.0,0.01,0.0,0.0,25.0,37355.0,1.1875040625,False,REGULAR,USD
1,SPY220520P00110000,2022-03-28 17:19:16+00:00,110.0,0.01,0.0,0.01,0.0,0.0,790.0,14324.0,1.125004375,False,REGULAR,USD
2,SPY220520P00120000,2022-04-01 19:56:40+00:00,120.0,0.01,0.0,0.01,0.0,0.0,12.0,5193.0,1.0625046875000002,False,REGULAR,USD
3,SPY220520P00130000,2022-04-01 19:43:50+00:00,130.0,0.01,0.0,0.01,0.0,0.0,1.0,10763.0,1.000005,False,REGULAR,USD
4,SPY220520P00140000,2022-04-04 20:03:48+00:00,140.0,0.01,0.0,0.01,-0.01,-50.0,513.0,6003.0,0.937500625,False,REGULAR,USD
5,SPY220520P00150000,2022-04-04 19:40:29+00:00,150.0,0.03,0.01,0.02,0.01,50.0,2.0,9720.0,0.9609378906249999,False,REGULAR,USD
6,SPY220520P00160000,2022-04-01 14:58:05+00:00,160.0,0.02,0.01,0.02,0.0,0.0,600.0,3483.0,0.9062509375,False,REGULAR,USD
7,SPY220520P00170000,2022-04-04 19:29:10+00:00,170.0,0.02,0.01,0.02,-0.01,-33.333336,3.0,5127.0,0.85937640625,False,REGULAR,USD
8,SPY220520P00180000,2022-04-01 18:48:58+00:00,180.0,0.04,0.02,0.03,0.0,0.0,1443.0,9177.0,0.8437515624999999,False,REGULAR,USD
9,SPY220520P00190000,2022-04-04 20:08:52+00:00,190.0,0.03,0.02,0.03,-0.01,-25.0,10.0,2708.0,0.79687703125,False,REGULAR,USD
10,SPY220520P00200000,2022-04-04 19:59:01+00:00,200.0,0.04,0.03,0.04,-0.010000002,-20.000004,11.0,7636.0,0.773439765625,False,REGULAR,USD
11,SPY220520P00210000,2022-04-01 19:57:05+00:00,210.0,0.06,0.03,0.04,0.0,0.0,240.0,3030.0,0.7304714453125,False,REGULAR,USD
12,SPY220520P00215000,2022-04-04 19:36:23+00:00,215.0,0.05,0.04,0.05,0.0,0.0,6.0,11425.0,0.726565234375,False,REGULAR,USD
13,SPY220520P00220000,2022-04-04 19:37:50+00:00,220.0,0.05,0.04,0.05,-0.02,-28.571426,14.0,2795.0,0.7050810742187501,False,REGULAR,USD
